date,setting,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-26_17-30,S: whole/ Q: whole,matching_1nn,0.8103999999999999,0.8721333333333334,0.8953333333333332,0.9073333333333332,0.9178666666666666,0.9236,0.9301333333333334,0.9368,0.9406666666666668,0.9446666666666664
2024-02-26_17-30,S: whole/ Q: whole,matching_knn,0.8103999999999999,0.8721333333333334,0.8780000000000001,0.9061333333333332,0.9052,0.9202666666666665,0.9206666666666664,0.9317333333333332,0.9281333333333333,0.9348
2024-02-26_17-30,S: whole/ Q: whole,ncm_max,0.8103999999999999,0.8856,0.9152,0.9281333333333334,0.9378666666666666,0.9419999999999998,0.9466666666666664,0.9488,0.9512,0.9526666666666666
2024-02-26_17-30,S: whole/ Q: whole,ncm_sum,0.8103999999999999,0.8856,0.9152,0.9281333333333334,0.9378666666666666,0.9419999999999998,0.9466666666666664,0.9488,0.9512,0.9526666666666666
,,,,,,,,,,,,
2024-02-26_17-35,S: whole/ Q: filtered,matching_1nn,0.8124000000000001,0.8761333333333334,0.8987999999999999,0.9129333333333336,0.9226666666666667,0.9276,0.9354666666666668,0.9408,0.9446666666666668,0.948
2024-02-26_17-35,S: whole/ Q: filtered,matching_knn,0.8124000000000001,0.8761333333333334,0.8999999999999999,0.9129333333333334,0.9173333333333332,0.9292,0.9343999999999998,0.9417333333333332,0.9362666666666668,0.9442666666666666
2024-02-26_17-35,S: whole/ Q: filtered,ncm_max,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
2024-02-26_17-35,S: whole/ Q: filtered,ncm_sum,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
,,,,,,,,,,,,
2024-02-26_17-40,S: whole/ Q: unfiltered,matching_1nn,0.8124000000000001,0.8761333333333334,0.8987999999999999,0.9129333333333336,0.9226666666666667,0.9276,0.9354666666666668,0.9408,0.9446666666666668,0.948
2024-02-26_17-40,S: whole/ Q: unfiltered,matching_knn,0.8124000000000001,0.8761333333333334,0.8999999999999999,0.9129333333333334,0.9173333333333332,0.9292,0.9343999999999998,0.9417333333333332,0.9362666666666668,0.9442666666666666
2024-02-26_17-40,S: whole/ Q: unfiltered,ncm_max,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
2024-02-26_17-40,S: whole/ Q: unfiltered,ncm_sum,0.8124000000000001,0.8866666666666666,0.9196,0.9312,0.9390666666666668,0.9450666666666666,0.9496,0.9521333333333332,0.9528,0.954
,,,,,,,,,,,,
2024-02-26_17-44,S: filtered/ Q: whole,matching_1nn,0.8332,0.8899999999999999,0.9088,0.9177333333333332,0.9269333333333332,0.9313333333333332,0.9357333333333332,0.9417333333333332,0.9445333333333332,0.9469333333333332
2024-02-26_17-44,S: filtered/ Q: whole,matching_knn,0.8332,0.8902666666666668,0.8998666666666666,0.9144,0.9181333333333334,0.9282666666666666,0.9325333333333332,0.9339999999999996,0.9371999999999998,0.940133333333333
2024-02-26_17-44,S: filtered/ Q: whole,ncm_max,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
2024-02-26_17-44,S: filtered/ Q: whole,ncm_sum,0.8333333333333335,0.902,0.924,0.9337333333333332,0.9438666666666664,0.9481333333333332,0.9519999999999998,0.9529333333333332,0.9549333333333332,0.9565333333333332
,,,,,,,,,,,,
