date,setting,classifier,shot_1,shot_2,shot_3,shot_4,shot_5,shot_6,shot_7,shot_8,shot_9,shot_10
2024-02-26_16-35,S: whole/ Q: whole,matching_1nn,0.9,0.9353333333333332,0.9477333333333332,0.9538666666666668,0.9601333333333332,0.9642666666666666,0.9658666666666664,0.9677333333333332,0.9682666666666664,0.9708
2024-02-26_16-35,S: whole/ Q: whole,matching_knn,0.9,0.9353333333333332,0.9430666666666668,0.9547999999999998,0.9624,0.9663999999999998,0.9650666666666664,0.9689333333333332,0.9681333333333332,0.9701333333333332
2024-02-26_16-35,S: whole/ Q: whole,ncm_max,0.9,0.9442666666666666,0.9569333333333334,0.9659999999999996,0.9721333333333332,0.9751999999999998,0.9754666666666664,0.9777333333333332,0.9770666666666666,0.9792
2024-02-26_16-35,S: whole/ Q: whole,ncm_sum,0.9,0.9442666666666666,0.9569333333333334,0.9659999999999996,0.9721333333333332,0.9751999999999998,0.9754666666666664,0.9777333333333332,0.9770666666666666,0.9792
,,,,,,,,,,,,
2024-02-26_16-41,S: whole/ Q: filtered,matching_1nn,0.9129333333333334,0.9486666666666664,0.9582666666666668,0.9628,0.9681333333333332,0.9709333333333332,0.9724,0.9748,0.9749333333333332,0.9765333333333334
2024-02-26_16-41,S: whole/ Q: filtered,matching_knn,0.9129333333333334,0.9486666666666664,0.9587999999999998,0.9668,0.9733333333333332,0.9750666666666664,0.9770666666666664,0.9790666666666666,0.9806666666666666,0.9821333333333334
2024-02-26_16-41,S: whole/ Q: filtered,ncm_max,0.9129333333333334,0.9564,0.9674666666666666,0.9735999999999998,0.9772,0.9798666666666666,0.9808,0.9828,0.9818666666666668,0.9828
2024-02-26_16-41,S: whole/ Q: filtered,ncm_sum,0.9128,0.9556,0.9674666666666666,0.9730666666666667,0.9771999999999998,0.9798666666666666,0.9808,0.9829333333333332,0.9816,0.9834666666666666
,,,,,,,,,,,,
